threshold,accuracy,precision,recall,f1_score,apcer,bpcer,far,frr,tp,tn,fp,fn
0.1,0.3840870062965083,0.3840870062965083,1.0,0.555004135649297,1.0,0.0,1.0,0.0,671,0,1076,0
0.2,0.38923869490555235,0.3860759493670886,1.0,0.5570776255707762,0.991635687732342,0.0,0.991635687732342,0.0,671,9,1067,0
0.3,0.4127074985689754,0.3940298507462687,0.9836065573770492,0.5626598465473146,0.9433085501858736,0.01639344262295082,0.9433085501858736,0.01639344262295082,660,61,1015,11
0.4,0.44991413852318257,0.398884239888424,0.8524590163934426,0.5434679334916864,0.8011152416356877,0.14754098360655737,0.8011152416356877,0.14754098360655737,572,214,862,99
0.5,0.5248998282770464,0.4265927977839335,0.6885245901639344,0.5267958950969214,0.5771375464684015,0.3114754098360656,0.5771375464684015,0.3114754098360656,462,455,621,209
0.5597425699234009,0.54779622209502,0.4304093567251462,0.5484351713859911,0.48230668414154654,0.45260223048327136,0.45156482861400893,0.45260223048327136,0.45156482861400893,368,589,487,303
0.6,0.5684029765311963,0.43585780525502316,0.4202682563338301,0.4279210925644917,0.3392193308550186,0.5797317436661699,0.3392193308550186,0.5797317436661699,282,711,365,389
0.7,0.6038923869490556,0.4581673306772908,0.17138599105812222,0.24945770065075923,0.12639405204460966,0.8286140089418778,0.12639405204460966,0.8286140089418778,115,940,136,556
0.8,0.6330852890669719,0.6829268292682927,0.08345752608047691,0.14873837981407703,0.024163568773234202,0.9165424739195231,0.024163568773234202,0.9165424739195231,56,1050,26,615
0.9,0.6159129937034917,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1076,0,671
